country,capital,continent
Abkhazia,Sukhumi,asia
Afghanistan,Kabul,asia
Albania,Tirana,europe
Algeria,Algiers,afrika
Andorra,Andorra la Vella,europe
Angola,Luanda,afrika
Antigua and Barbuda,St. John's,north america
Argentina,Buenos Aires,south america
Armenia,Yerevan,asia
Australia,Canberra,oceania
Austria,Vienna,europe
Azerbaijan,Baku,asia
Bahamas,Nassau,north america
Bahrain,Manama,asia
Bangladesh,Dhaka,asia
Barbados,Bridgetown,north america
Belarus,Minsk,europe
Belgium,Brussels,europe
Belize,Belmopan,north america
Benin,Porto-Novo,afrika
Bhutan,Thimphu,asia
Bolivia,La Paz,south america
Bosnia and Herzegovina,Sarajevo,europe
Botswana,Gaborone,afrika
Brazil,Brasília,south america
Brunei,Bandar Seri Begawan,asia
Bulgaria,Sofia,europe
Burkina Faso,Ouagadougou,afrika
Burundi,Bujumbura,afrika
Cambodia,Phnom Penh,asia
Cameroon,Yaoundé,afrika
Canada,Ottawa,north america
Cape Verde,Praia,afrika
Central African Republic,Bangui,afrika
Chad,N'Djamena,afrika
Chile,Santiago,south america
China,Beijing,asia
Colombia,Bogotá,south america
Comoros,Moroni,afrika
Costa Rica,San José,north america
Croatia,Zagreb,europe
Cuba,Havana,north america
Cyprus,Nicosia,europe
Czech Republic,Prague,europe
Côte d'Ivoire,Yamoussoukro,afrika
Democratic Republic of the Congo,Kinshasa,afrika
Denmark,Copenhagen,europe
Djibouti,Djibouti,afrika
Dominica,Roseau,north america
Dominican Republic,Santo Domingo,north america
East Timor,Dili,asia
Ecuador,Quito,south america
Egypt,Cairo,afrika
El Salvador,San Salvador,north america
Equatorial Guinea,Malabo,afrika
Eritrea,Asmara,afrika
Estonia,Tallinn,europe
Ethiopia,Addis Ababa,afrika
Federated States of Micronesia,Palikir,oceania
Fiji,Suva,oceania
Finland,Helsinki,europe
France,Paris,europe
Gabon,Libreville,afrika
Gambia,Banjul,afrika
Georgia,Tbilisi,asia
Germany,Berlin,europe
Ghana,Accra,afrika
Greece,Athens,europe
Grenada,St. George's,north america
Guatemala,Guatemala City,north america
Guinea,Conakry,afrika
Guinea-Bissau,Bissau,afrika
Guyana,Georgetown,south america
Haiti,Port-au-Prince,north america
Honduras,Tegucigalpa,north america
Hungary,Budapest,europe
Iceland,Reykjavík,europe
India,New Delhi,asia
Indonesia,Jakarta,asia
Iran,Tehran,asia
Iraq,Baghdad,asia
Ireland,Dublin,europe
Israel,Jerusalem,asia
Italy,Rome,europe
Jamaica,Kingston,north america
Japan,Tokyo,asia
Jordan,Amman,asia
Kazakhstan,Astana,asia
Kenya,Nairobi,afrika
Kiribati,Tarawa,oceania
Kosovo,Pristina,europe
Kuwait,Kuwait City,asia
Kyrgyzstan,Bishkek,asia
Laos,Vientiane,asia
Latvia,Riga,europe
Lebanon,Beirut,asia
Lesotho,Maseru,afrika
Liberia,Monrovia,afrika
Libya,Tripoli,afrika
Liechtenstein,Vaduz,europe
Lithuania,Vilnius,europe
Luxembourg,Luxembourg,europe
North Macedonia,Skopje,europe
Madagascar,Antananarivo,afrika
Malawi,Lilongwe,afrika
Malaysia,Kuala Lumpur,asia
Maldives,Malé,oceania
Mali,Bamako,afrika
Malta,Valletta,europe
Marshall Islands,Majuro,oceania
Mauritania,Nouakchott,afrika
Mauritius,Port Louis,afrika
Mexico,Mexico City,north america
Moldova,Chisinau,europe
Monaco,Monaco,europe
Mongolia,Ulaanbaatar,asia
Montenegro,Podgorica,europe
Morocco,Rabat,asia
Mozambique,Maputo,afrika
Myanmar,Naypyidaw,asia
Nagorno Karabakh,Stepanakert,asia
Namibia,Windhoek,afrika
Nauru,Yaren,oceania
Nepal,Kathmandu,asia
Netherlands,Amsterdam,europe
New Zealand,Wellington,oceania
Nicaragua,Managua,north america
Niger,Niamey,afrika
Nigeria,Abuja,afrika
North Korea,Pyongyang,asia
Northern Cyprus,Nicosia,europe
Northern Ireland,Belfast,europe
Norway,Oslo,europe
Oman,Muscat,asia
Pakistan,Islamabad,asia
Palau,Ngerulmud,oceania
Palestine,Jerusalem,asia,ocupied
Panama,Panama City,south america
Papua New Guinea,Port Moresby,asia
Paraguay,Asunción,south america
Peru,Lima,south america
Philippines,Manila,asia
Poland,Warsaw,europe
Portugal,Lisbon,europe
Qatar,Doha,asia
Taiwan,Taipei,asia
Republic of the Congo,Brazzaville,afrika
Romania,Bucharest,europe
Russia,Moscow,europe
Rwanda,Kigali,afrika
Saint Kitts and Nevis,Basseterre,north america
Saint Lucia,Castries,north america
Samoa,Apia,oceania
San Marino,San Marino,europe
Saudi Arabia,Riyadh,asia
Scotland,Edinburgh,europe
Senegal,Dakar,afrika
Serbia,Belgrade,europe
Seychelles,Victoria,afrika
Sierra Leone,Freetown,afrika
Singapore,Singapore,asia
Slovakia,Bratislava,europe
Slovenia,Ljubljana,europe
Solomon Islands,Honiara,oceania
Somalia,Mogadishu,afrika
Somaliland,Hargeisa,afrika
South Africa,Pretoria,afrika
South Korea,Seoul,asia
South Ossetia,Tskhinvali,asia
South Sudan,Juba,afrika
Spain,Madrid,europe
Sri Lanka,Sri Jayawardenapura Kotte,asia
Sudan,Khartoum,afrika
Suriname,Paramaribo,south america
Swaziland,Mbabane,afrika
Sweden,Stockholm,europe
Switzerland,Bern,europe
Syria,Damascus,asia
São Tomé and Príncipe,São Tomé,afrika
Tajikistan,Dushanbe,asia
Tanzania,Dodoma,afrika
Thailand,Bangkok,asia
Togo,Lomé,afrika
Tonga,Nukuʻalofa,oceania
Transnistria,Tiraspol,europe
Trinidad and Tobago,Port of Spain,north america
Tunisia,Tunis,afrika
Turkey,Ankara,asia
Turkmenistan,Ashgabat,asia
Tuvalu,Funafuti,oceania
Uganda,Kampala,afrika
Ukraine,Kiev,europe
United Arab Emirates,Abu Dhabi,asia
United Kingdom,London,europe
United States,Washington.D.C.,north america
Uruguay,Montevideo,south america
Uzbekistan,Tashkent,asia
Vanuatu,Port Vila,oceania
Vatican,Vatican,europe
Venezuela,Caracas,south america
Vietnam,Hanoi,asia
Wales,Cardiff,europe
Western Sahara,El Aaiún,afrika,ocupied
Yemen,Sanaá,asia
Zambia,Lusaka,afrika
Zimbabwe,Harare,afrika